Host Since,Host Listings Count,Host Total Listings Count,Calculated host listings count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,First Review,Last Review,Reviews per Month,Review Scores Rating,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict
2016-06-29,1,1,1,40.72211074377487,-73.98458674487371,1,1,1,1,80.0,560.0,2400.0,300.0,35.0,1,0.0,1,1125,2,2016-07-16,2016-07-31,0.21,100.0,0,1,0,1,0,0,1,1,0,0
2015-06-04,1,1,1,40.72354467839422,-73.98189955332617,2,1,1,1,108.0,756.0,3240.0,0.0,0.0,2,0.0,2,1125,17,2015-06-23,2016-08-01,0.75,91.0,0,1,0,1,0,0,1,0,1,0
2009-07-02,2,2,2,40.72480817161134,-73.9805652508546,6,1,3,4,375.0,2625.0,5500.0,500.0,120.0,4,35.0,3,40,10,2011-08-19,2016-01-02,0.14,96.0,0,1,1,0,0,0,1,0,0,1
2012-05-12,1,1,1,40.72843493185969,-73.9787186204834,2,1,1,1,195.0,1365.0,5850.0,200.0,108.0,2,45.0,2,14,3,2015-05-22,2015-10-12,0.13,93.0,0,1,1,0,0,0,1,0,0,1
2012-08-13,1,1,1,40.72582131329021,-73.9775286638709,2,1,0,2,150.0,900.0,4500.0,0.0,25.0,1,0.0,2,1125,10,2015-06-16,2016-08-29,0.44,92.0,0,1,1,0,0,0,1,1,0,0
2015-06-19,1,1,1,40.72714195527534,-73.97893628920616,1,1,1,1,100.0,600.0,1500.0,0.0,0.0,1,0.0,1,1125,1,2015-11-18,2015-11-18,0.06,100.0,0,1,0,1,0,0,1,1,0,0
2013-01-30,4,4,3,40.73200144373358,-73.98747266399717,2,1,1,1,120.0,840.0,3000.0,0.0,0.0,1,25.0,7,1125,2,2015-04-06,2015-09-27,0.08,100.0,0,1,0,1,0,0,1,0,1,0
2013-12-20,1,1,1,40.72420383690073,-73.99114406630788,1,2,1,1,105.0,735.0,3150.0,0.0,100.0,1,0.0,1,60,10,2016-07-21,2017-04-16,1.05,100.0,0,1,0,1,0,0,1,0,0,1
2015-05-03,1,1,1,40.72441290407141,-73.99221628120283,7,1,2,3,250.0,1750.0,7500.0,298.0,34.0,4,38.0,1,1125,21,2017-02-03,2017-04-30,7.0,80.0,0,1,1,0,0,0,1,0,0,1
2015-04-17,4,4,3,40.72430832953109,-73.98699487783625,4,1,1,2,280.0,1960.0,6000.0,500.0,100.0,2,40.0,2,1125,14,2015-08-25,2017-02-23,0.68,91.0,0,1,1,0,0,0,1,0,0,1
2015-07-13,1,1,1,40.72612248179258,-73.99043465063465,1,1,1,1,110.0,770.0,3300.0,100.0,20.0,1,0.0,3,15,47,2015-10-10,2017-04-23,2.47,97.0,0,1,0,1,0,0,1,0,1,0
2013-05-08,1,1,1,40.73395202253488,-73.98967742727632,3,1,2,2,299.0,2093.0,12000.0,0.0,100.0,1,0.0,4,1125,3,2013-08-31,2016-01-07,0.07,100.0,0,1,1,0,0,0,1,1,0,0
2013-07-09,1,1,1,40.7284708184415,-73.98579228166517,4,1,0,3,183.0,1281.0,5490.0,300.0,54.0,1,0.0,1,1125,1,2016-01-09,2016-01-09,0.06,80.0,0,1,1,0,0,0,1,0,0,1
2013-03-07,1,1,1,40.72657617478496,-73.98907229647777,2,1,1,1,179.0,1253.0,5370.0,150.0,100.0,1,30.0,2,6,27,2013-05-01,2017-04-24,0.55,95.0,0,1,1,0,0,0,1,0,0,1
2010-06-27,2,2,2,40.73112475963711,-73.98558166855807,2,1,1,1,90.0,900.0,3500.0,500.0,75.0,2,50.0,6,30,55,2014-05-05,2017-04-29,1.51,95.0,0,1,0,1,0,0,1,0,0,1
2015-10-05,1,1,1,40.72895365599347,-73.98789335787781,4,1,2,2,200.0,1400.0,6000.0,500.0,150.0,4,50.0,1,1125,1,2016-05-31,2016-05-31,0.09,100.0,0,1,1,0,0,0,1,1,0,0
2016-02-27,1,1,1,40.79600238108115,-73.9486292845093,6,1,2,2,215.0,1505.0,6450.0,0.0,50.0,4,50.0,1,1125,25,2016-12-08,2017-04-19,5.07,90.0,0,1,1,0,0,0,1,0,0,1
2013-07-22,3,3,3,40.7870446012502,-73.94410789981389,2,1,1,1,79.0,553.0,2370.0,0.0,0.0,2,100.0,2,365,165,2014-10-16,2017-04-30,5.31,96.0,0,1,0,1,0,0,1,0,0,1
2015-08-15,1,1,1,40.79538395687753,-73.94716420905809,5,1,2,2,180.0,1260.0,5400.0,300.0,50.0,2,100.0,1,10,9,2016-07-16,2017-04-24,0.92,93.0,0,1,1,0,0,0,1,0,0,1
2015-06-24,1,1,1,40.79228632471172,-73.94961991033283,2,1,1,1,80.0,560.0,2400.0,500.0,30.0,1,45.0,2,5,65,2015-09-10,2017-04-25,3.23,97.0,0,1,0,1,0,0,1,0,1,0
