Host Since,Host Listings Count,Host Total Listings Count,Calculated host listings count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,PersonPrice,Weekly Price,Monthly Price,PerSecurity,Security Deposit,PerCleaning,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,First Review,Last Review,Reviews per Month,Review Scores Rating,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict
12/19/14,3,3,3,40.81469345,-73.96013354,2,1,1,1,110,55,770,3300,50,100,12.5,25,1,0,1,1125,90,1/14/16,4/16/17,5.67,0,0,1,0,1,0,0,1,0,0,1
11/18/15,1,1,1,40.75435245,-73.96729177,3,1,1,1,125,41.66666667,875,3750,83.33333333,250,33.33333333,100,3,75,3,1125,12,3/15/16,4/25/17,0.87,0,0,1,1,0,0,0,1,0,1,0
1/19/15,1,1,1,40.74450388,-73.98604646,7,1,2,2,279,39.85714286,1953,8370,0,0,5.571428571,39,1,0,2,1125,28,9/6/16,4/2/17,3.5,0,0,1,1,0,0,0,1,0,0,1
10/24/14,3,3,3,40.76564076,-73.98012946,4,2,1,1,425,106.25,2975,12750,0,0,0,0,1,0,7,7,1,1/2/15,1/2/15,0.04,1,1,0,0,1,0,0,1,0,0,1
12/15/16,1,1,1,40.75222989,-73.96811264,1,1,1,1,100,100,700,3000,0,0,0,0,1,0,2,5,1,1/2/17,1/2/17,0.24,0,0,1,1,0,0,0,1,1,0,0
12/15/11,1,1,1,40.7527218,-73.96919849,4,1,1,2,180,45,1260,3500,75,300,12.5,50,2,10,3,1125,7,9/28/15,4/26/17,0.36,0,0,1,1,0,0,0,1,0,0,1
9/13/10,3,3,2,40.74693176,-73.98218496,2,1,1,1,150,75,1050,4500,0,0,0,0,1,25,3,1125,1,4/16/17,4/16/17,1,1,0,1,0,1,0,0,1,0,0,1
7/9/14,1,1,1,40.75519063,-73.98922445,2,1,1,1,100,50,700,3000,125,250,25,50,2,50,1,1125,19,1/25/17,4/27/17,5.7,0,0,1,0,1,0,0,1,0,1,0
4/11/16,1,1,1,40.75430312,-73.9728732,5,1,2,3,335,67,2345,10050,50,250,24,120,1,0,1,1125,41,4/12/16,4/21/17,3.17,0,0,1,1,0,0,0,1,0,0,1
8/18/13,1,1,1,40.74210803,-73.98458509,2,1,0,1,175,87.5,1225,5200,100,200,17.5,35,1,0,1,30,153,12/31/13,4/24/17,3.76,0,0,1,1,0,0,0,1,0,0,1
1/22/15,54,54,2,40.75206746,-73.9735057,6,1,2,3,299,49.83333333,2093,8970,0,0,12.5,75,1,0,2,1125,4,10/14/16,12/26/16,0.59,0,0,1,1,0,0,0,1,0,0,1
3/2/16,1,1,1,40.74485467,-73.98468355,5,1,2,4,359,71.8,2513,10770,40,200,22,110,4,35,2,1125,35,3/9/16,4/9/17,2.49,0,0,1,1,0,0,0,1,0,0,1
11/18/13,1,1,1,40.7664612,-73.98132359,5,1,1,4,239,47.8,1673,7170,0,0,7.8,39,2,49,5,20,5,4/26/16,11/27/16,0.4,1,0,1,1,0,0,0,1,0,0,1
4/29/16,33,33,11,40.75227919,-73.97185151,4,1,1,2,649,162.25,4543,19470,0,0,25,100,1,0,2,14,1,12/30/16,12/30/16,0.24,0,0,1,1,0,0,0,1,0,0,1
7/7/15,1,1,1,40.7508757,-73.9691776,3,1,1,1,199,66.33333333,1393,5970,83.33333333,250,16.66666667,50,1,0,4,30,1,1/5/16,1/5/16,0.06,1,0,1,1,0,0,0,1,0,1,0
2/28/14,1,1,1,40.7450829,-73.98384225,5,2,1,2,497,99.4,3479,14910,100,500,20,100,1,0,2,1125,13,5/22/16,4/13/17,1.12,0,0,1,1,0,0,0,1,0,0,1
6/10/16,1,1,1,40.74838157,-73.98575943,3,1,0,3,180,60,1260,5400,0,0,0,0,1,30,1,1125,92,6/17/16,4/29/17,8.57,0,0,1,1,0,0,0,1,0,0,1
11/28/12,2,2,3,40.72036049,-73.9899261,4,1,1,2,180,45,1260,5400,100,400,10,40,2,0,2,14,1,1/2/13,1/2/13,0.02,1,0,1,0,1,0,0,1,0,0,1
1/28/14,1,1,1,40.71818376,-73.99350139,6,1,2,2,249,41.5,1743,5200,25,150,8,48,1,0,1,1125,6,6/8/15,12/30/15,0.26,0,0,1,1,0,0,0,1,0,0,1
8/29/15,1,1,1,40.72175472,-73.98735103,2,1,1,1,87,43.5,609,2610,0,0,10,20,2,30,2,30,52,9/14/15,4/16/17,2.61,0,0,1,0,1,0,0,1,1,0,0
10/14/14,1,1,1,40.71931026,-73.98392776,2,1,1,1,85,42.5,595,2550,120,240,12.5,25,1,0,5,1125,1,5/16/16,5/16/16,0.08,1,0,1,0,1,0,0,1,1,0,0
7/26/10,1,1,1,40.75571938,-73.96905847,2,1,1,1,250,125,1750,7500,150,300,37.5,75,1,0,3,8,2,9/29/16,1/1/17,0.28,1,0,1,1,0,0,0,1,0,1,0
11/9/11,1,1,1,40.75281787,-73.97315151,2,1,1,1,125,62.5,875,3750,0,0,0,0,1,0,365,365,19,2/27/12,9/8/15,0.3,0,0,1,1,0,0,0,1,0,1,0
10/16/14,1,1,1,40.75788388,-73.96890219,4,1,1,1,149,37.25,1043,4470,0,0,0,0,2,50,2,1125,14,8/31/15,5/1/16,0.69,1,0,1,1,0,0,0,1,1,0,0
12/8/14,2,2,1,40.75765445,-73.96466402,3,1,0,2,135,45,700,2400,0,0,25,75,2,25,1,1125,72,3/21/15,4/24/17,2.79,0,0,1,1,0,0,0,1,0,1,0
