Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,PersonPrice,Security Deposit,Cleaning Fee,Number of Reviews,Reviews per Month,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict,Review Scores Rating
40.78812813,-73.96820368,2,1,0,1,79,0,0,80,3.85,0,1,1,0,0,0,1,0,1,0,1
40.78342256,-73.97791361,2,1,1,2,60,0,0,4,2.45,0,1,1,0,0,0,1,1,0,0,0
40.83838897,-73.93818877,2,1,1,2,54.5,0,0,5,0.7,0,1,0,1,0,0,1,1,0,0,0
40.73753231,-74.0066235,2,1,1,1,45,0,20,14,0.61,0,1,0,1,0,0,1,0,0,1,1
40.73379931,-74.00327655,2,1,0,1,75,300,60,36,0.83,0,1,1,0,0,0,1,0,0,1,1
40.73485364,-74.00637286,2,1,1,1,82.5,500,70,2,0.04,0,1,1,0,0,0,1,0,0,1,0
40.73412736,-74.00465129,4,2,2,2,75,500,0,5,0.09,0,1,1,0,0,0,1,0,0,1,1
40.7387433,-74.00055231,2,1,1,1,137.5,0,200,10,0.84,0,1,1,0,0,0,1,0,1,0,0
40.85237606,-73.93058798,2,1,5,1,27.5,0,0,6,0.84,0,1,0,1,0,0,1,0,0,1,0
40.85111102,-73.93324637,2,1,1,1,45,0,15,24,1.04,0,1,0,1,0,0,1,0,1,0,1
40.83897786,-73.94410511,2,1,1,1,50,0,0,2,0.12,0,1,1,0,0,0,1,1,0,0,1
40.83270193,-73.94486282,5,1,2,2,24,200,120,3,0.14,0,1,1,0,0,0,1,1,0,0,1
40.84769425,-73.93512344,2,1,1,1,37.5,150,0,15,0.53,0,1,0,1,0,0,1,0,1,0,0
40.85060655,-73.92926781,4,1,1,1,18.75,0,15,4,0.41,0,1,0,1,0,0,1,0,0,1,0
40.8567902,-73.93199627,1,2,1,1,55,0,0,12,1.7,0,1,0,1,0,0,1,1,0,0,0
40.85619398,-73.93117388,1,1,1,1,70,300,70,2,0.22,0,1,0,1,0,0,1,0,0,1,1
40.8494111,-73.9343151,2,1,1,1,30,0,0,4,1.9,0,1,0,1,0,0,1,1,0,0,1
40.84821965,-73.93344424,2,1,1,1,44,100,30,68,1.94,0,1,1,0,0,0,1,0,0,1,0
40.83729564,-73.94094407,2,1,1,1,16.5,0,20,25,1.28,0,1,0,1,0,0,1,0,0,1,0
40.84875093,-73.93412838,1,1,1,1,90,250,20,3,0.37,0,1,0,1,0,0,1,0,0,1,0
40.83664277,-73.93807733,6,1,3,6,41.66666667,0,150,2,2,0,1,1,0,0,0,1,1,0,0,1
40.84244125,-73.93998411,1,1,1,1,35,0,0,5,0.86,0,1,0,0,1,0,1,1,0,0,0
40.73220614,-74.00128654,7,1,2,4,64.28571429,0,140,32,3.98,0,1,1,0,0,0,1,0,0,1,0
40.73235802,-74.00352552,2,1,1,1,100,500,100,3,0.08,0,1,1,0,0,0,1,0,1,0,0
40.73119057,-74.00614579,2,1,1,1,100,0,0,20,0.46,0,1,1,0,0,0,1,0,1,0,0
40.73453892,-74.00365144,7,1,2,3,50,250,100,153,2.86,0,1,1,0,0,0,1,0,0,1,0
40.73507498,-74.008259,3,1,1,1,79.66666667,0,95,6,0.78,0,1,1,0,0,0,1,0,0,1,1
40.73940948,-74.00495475,2,1,0,1,85,0,70,8,0.19,0,1,1,0,0,0,1,0,0,1,0
40.73598796,-74.00457777,2,1,1,1,57.5,200,65,13,1.33,0,1,0,1,0,0,1,1,0,0,0
40.73190152,-74.00676715,4,1,1,2,62.5,0,150,3,0.14,0,1,1,0,0,0,1,0,0,1,0
40.73747225,-74.00014141,2,1,1,1,55,95,10,41,2.36,0,1,0,1,0,0,1,1,0,0,1
40.73286491,-74.00479903,3,1,1,2,86.66666667,0,0,4,0.69,0,1,1,0,0,0,1,0,0,1,1
40.73842105,-74.00194474,4,2,2,2,175,0,200,2,0.39,0,1,1,0,0,0,1,0,1,0,1
40.73358115,-74.00701307,4,1,2,2,64.5,500,90,38,0.57,0,1,1,0,0,0,1,0,1,0,0
40.73917804,-74.00187486,2,1,1,1,47.5,250,10,15,2.1,0,1,0,1,0,0,1,1,0,0,1
40.73409411,-74.00107668,2,1,0,1,87.5,0,50,26,2.73,0,1,1,0,0,0,1,0,0,1,0
40.73436222,-73.99993986,1,1,1,1,80,0,30,1,0.06,0,1,0,1,0,0,1,0,0,1,1
40.80284105,-73.96206472,4,2,2,3,72.5,0,150,3,2.73,0,1,1,0,0,0,1,0,1,0,1
40.811309,-73.95820441,1,1,1,1,60,0,10,1,1,0,1,0,1,0,0,1,1,0,0,1
40.81350684,-73.96088925,2,2,1,2,44.5,200,10,16,5.27,0,1,0,1,0,0,1,0,0,1,1
40.80601488,-73.96436573,1,1,1,1,60,100,55,1,1,0,1,0,1,0,0,1,0,0,1,1
40.72600507,-73.99385847,4,1,2,2,37.5,0,0,74,6.31,0,1,0,1,0,0,1,1,0,0,0
40.72701156,-73.99531074,3,1,1,3,33.33333333,0,30,14,2.71,0,1,0,1,0,0,1,1,0,0,1
40.7214774,-73.99581151,2,1,1,1,48.5,300,50,4,0.25,0,1,0,1,0,0,1,1,0,0,0
40.72357926,-73.99456627,1,0,1,1,69,0,0,8,0.58,1,0,0,1,0,0,1,0,1,0,0
40.72374392,-73.99468909,1,1,1,1,49,0,19,22,4.18,0,1,0,0,1,1,0,0,1,0,0
40.75942076,-73.96816478,2,1,1,1,44.5,0,35,86,2.57,0,1,0,1,0,0,1,0,1,0,0
40.75709477,-73.96327436,2,1,1,1,50,0,30,22,2.14,0,1,0,1,0,0,1,0,1,0,1
40.75110061,-73.98666762,1,1,1,1,50,0,0,13,1.48,0,1,0,0,1,0,1,0,0,1,0
40.75162355,-73.97319732,4,1,1,2,162.25,0,100,1,0.2,0,1,1,0,0,0,1,0,0,1,1
40.74920851,-73.98444985,3,1,0,2,60,0,0,8,0.4,0,1,1,0,0,0,1,1,0,0,1
40.75626604,-73.96755032,5,2,1,4,75,0,0,56,3.46,0,1,1,0,0,0,1,1,0,0,0
40.75575606,-73.96547955,3,1,0,1,66.66666667,0,0,18,1.48,0,1,1,0,0,0,1,0,0,1,0
40.80972064,-73.95588454,4,1,0,2,24.75,200,100,23,5.61,0,1,1,0,0,0,1,0,0,1,0
40.81450803,-73.95953238,1,1,1,1,50,0,0,3,0.38,0,1,0,0,1,0,1,0,1,0,0
40.80800624,-73.95820317,4,1,1,2,33,0,60,9,0.3,0,1,1,0,0,0,1,0,0,1,0
40.80716385,-73.96424708,2,1,0,1,65,0,0,28,2.95,0,1,1,0,0,0,1,0,0,1,0
40.80555281,-73.96463575,4,1,1,2,35,0,0,1,0.09,0,1,1,0,0,0,1,1,0,0,1
40.81469345,-73.96013354,2,1,1,1,55,100,25,90,5.67,0,1,0,1,0,0,1,0,0,1,0
40.75435245,-73.96729177,3,1,1,1,41.66666667,250,100,12,0.87,0,1,1,0,0,0,1,0,1,0,0
40.74450388,-73.98604646,7,1,2,2,39.85714286,0,39,28,3.5,0,1,1,0,0,0,1,0,0,1,0
40.76564076,-73.98012946,4,2,1,1,106.25,0,0,1,0.04,1,0,0,1,0,0,1,0,0,1,1
40.75222989,-73.96811264,1,1,1,1,100,0,0,1,0.24,0,1,1,0,0,0,1,1,0,0,0
40.7527218,-73.96919849,4,1,1,2,45,300,50,7,0.36,0,1,1,0,0,0,1,0,0,1,0
40.74693176,-73.98218496,2,1,1,1,75,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1
40.75519063,-73.98922445,2,1,1,1,50,250,50,19,5.7,0,1,0,1,0,0,1,0,1,0,0
40.75430312,-73.9728732,5,1,2,3,67,250,120,41,3.17,0,1,1,0,0,0,1,0,0,1,0
40.74210803,-73.98458509,2,1,0,1,87.5,200,35,153,3.76,0,1,1,0,0,0,1,0,0,1,0
40.75206746,-73.9735057,6,1,2,3,49.83333333,0,75,4,0.59,0,1,1,0,0,0,1,0,0,1,0
40.74485467,-73.98468355,5,1,2,4,71.8,200,110,35,2.49,0,1,1,0,0,0,1,0,0,1,0
40.7664612,-73.98132359,5,1,1,4,47.8,0,39,5,0.4,0,1,1,0,0,0,1,0,0,1,1
40.75227919,-73.97185151,4,1,1,2,162.25,0,100,1,0.24,0,1,1,0,0,0,1,0,0,1,0
40.7508757,-73.9691776,3,1,1,1,66.33333333,250,50,1,0.06,0,1,1,0,0,0,1,0,1,0,1
40.7450829,-73.98384225,5,2,1,2,99.4,500,100,13,1.12,0,1,1,0,0,0,1,0,0,1,0
40.74838157,-73.98575943,3,1,0,3,60,0,0,92,8.57,0,1,1,0,0,0,1,0,0,1,0
40.72036049,-73.9899261,4,1,1,2,45,400,40,1,0.02,0,1,0,1,0,0,1,0,0,1,1
40.71818376,-73.99350139,6,1,2,2,41.5,150,48,6,0.26,0,1,1,0,0,0,1,0,0,1,0
40.72175472,-73.98735103,2,1,1,1,43.5,0,20,52,2.61,0,1,0,1,0,0,1,1,0,0,0
40.71931026,-73.98392776,2,1,1,1,42.5,240,25,1,0.08,0,1,0,1,0,0,1,1,0,0,1
40.75571938,-73.96905847,2,1,1,1,125,300,75,2,0.28,0,1,1,0,0,0,1,0,1,0,1
40.75281787,-73.97315151,2,1,1,1,62.5,0,0,19,0.3,0,1,1,0,0,0,1,0,1,0,0
40.75788388,-73.96890219,4,1,1,1,37.25,0,0,14,0.69,0,1,1,0,0,0,1,1,0,0,1
40.75765445,-73.96466402,3,1,0,2,45,0,75,72,2.79,0,1,1,0,0,0,1,0,1,0,0
40.74320865,-73.98473719,3,1,1,1,100,500,100,1,0.1,0,1,1,0,0,0,1,1,0,0,1
40.75967017,-73.96595471,1,1,1,1,78,0,50,28,0.88,0,1,0,1,0,0,1,0,0,1,0
40.76428525,-73.98042642,2,1,1,1,65,100,40,9,0.28,0,1,0,1,0,0,1,0,0,1,1
40.75621266,-73.96720699,2,1,1,1,32.5,0,0,1,0.06,0,1,0,1,0,0,1,0,0,1,0
40.87246912,-73.91927031,1,1,1,1,59,0,25,4,0.95,0,1,0,1,0,0,1,1,0,0,0
